Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,CIBIL_Score,Property_Area,Loan_Type,Loan_Status
Male,Yes,1,Graduate,No,1500,293,10.0,360.0,1.0,661,Urban,Car Loan,N
Male,Yes,1,Graduate,,1500,3040,10.0,120.0,1.0,701,Rural,Personal Loan,N
Male,No,2,Not Graduate,No,3846,0,15.0,180.0,1.0,834,Rural,Home Loan,Y
Male,Yes,1,Graduate,Yes,1721,2238,10.0,,1.0,695,Urban,Personal Loan,N
Male,Yes,0,Not Graduate,Yes,6335,3503,33.0,240.0,1.0,753,Urban,Personal Loan,Y
Male,Yes,2,Graduate,No,4144,521,18.0,60.0,1.0,693,Urban,Home Loan,N
Male,No,1,Graduate,No,4517,0,16.0,240.0,1.0,880,Semiurban,Personal Loan,Y
Male,Yes,0,Graduate,No,2453,199,11.0,300.0,1.0,801,Semiurban,Home Loan,Y
Female,Yes,1,Not Graduate,Yes,13615,18515,17.0,300.0,1.0,658,Rural,Home Loan,N
Male,Yes,3+,Graduate,No,29431,958,104.0,360.0,0.0,544,Semiurban,Home Loan,N
Male,Yes,0,Not Graduate,No,3310,2792,10.0,300.0,1.0,749,Urban,Personal Loan,Y
Male,Yes,0,Not Graduate,No,5151,359,30.0,84.0,0.0,425,Rural,Personal Loan,N
Female,Yes,0,Graduate,No,4307,2688,22.0,360.0,0.0,436,Semiurban,Personal Loan,N
Male,Yes,0,Graduate,No,3355,5836,15.0,360.0,1.0,752,Semiurban,Home Loan,Y
Male,Yes,0,Not Graduate,Yes,2247,1038,12.0,120.0,1.0,759,Urban,Education Loan,Y
Male,Yes,1,Graduate,,1882,441,10.0,360.0,0.0,393,Semiurban,Personal Loan,N
Male,No,0,Not Graduate,No,1817,0,10.0,60.0,0.0,591,Rural,Home Loan,N
Male,Yes,3+,Graduate,,5343,147,13.0,180.0,0.0,427,Semiurban,Education Loan,N
Male,Yes,2,Graduate,,2796,1059,12.0,360.0,1.0,810,Urban,Home Loan,Y
Male,Yes,1,Not Graduate,No,1500,2295,10.0,360.0,0.0,498,Semiurban,Home Loan,N
Male,No,2,Graduate,Yes,5493,0,10.0,300.0,1.0,824,Rural,Car Loan,Y
Female,Yes,0,Graduate,No,3917,849,10.0,,0.0,354,Urban,Education Loan,Y
Male,Yes,0,Graduate,Yes,10328,1763,10.0,360.0,0.0,545,Semiurban,Home Loan,Y
Male,No,1,Graduate,No,5224,0,31.0,360.0,,870,Rural,Home Loan,Y
Female,Yes,2,Graduate,No,1500,246,10.0,240.0,0.0,359,Urban,Home Loan,N
Male,Yes,2,Not Graduate,No,1500,1187,10.0,300.0,1.0,682,Semiurban,Home Loan,N
Male,Yes,0,Graduate,No,2431,9822,11.0,180.0,0.0,501,Semiurban,Home Loan,Y
Male,No,3+,Graduate,No,2597,0,10.0,36.0,1.0,664,Semiurban,Car Loan,N
Male,Yes,0,Graduate,Yes,7787,1015,25.0,180.0,0.0,428,Semiurban,Education Loan,N
Female,No,2,Graduate,No,3998,0,15.0,360.0,1.0,875,Urban,Car Loan,Y
Female,No,3+,Graduate,No,8898,0,14.0,360.0,0.0,496,Semiurban,Personal Loan,Y
Male,Yes,0,Not Graduate,No,1591,690,10.0,360.0,1.0,845,Urban,Personal Loan,Y
Male,Yes,2,Not Graduate,No,7908,1320,18.0,24.0,1.0,890,Semiurban,Home Loan,Y
Male,Yes,0,Graduate,No,6665,1094,12.0,300.0,1.0,761,Urban,Home Loan,Y
Male,Yes,0,Graduate,No,1500,559,10.0,36.0,0.0,579,Urban,Personal Loan,N
Male,Yes,1,Graduate,No,10156,1025,29.0,,1.0,862,Rural,Home Loan,Y
Male,No,1,Graduate,Yes,4295,0,23.0,360.0,,697,Semiurban,Home Loan,Y
Male,No,3+,Graduate,No,5294,0,28.0,240.0,1.0,657,Rural,Home Loan,N
Male,No,1,Graduate,,2196,0,10.0,360.0,0.0,406,Urban,Education Loan,N
Male,Yes,0,Graduate,No,9824,347,,24.0,1.0,840,Semiurban,Education Loan,Y
Female,No,2,Graduate,Yes,1754,0,10.0,180.0,1.0,767,Urban,Business Loan,Y
Male,No,3+,Graduate,No,7204,0,15.0,360.0,1.0,733,Rural,Business Loan,N
Male,No,0,Not Graduate,Yes,7146,0,25.0,60.0,1.0,651,Rural,Car Loan,N
Male,Yes,3+,Graduate,No,2034,813,10.0,120.0,1.0,892,Urban,Car Loan,Y
Male,No,0,Graduate,No,16128,0,38.0,24.0,1.0,886,Rural,Home Loan,Y
Male,Yes,2,Graduate,No,4731,950,10.0,360.0,0.0,612,Urban,Home Loan,N
,Yes,0,Graduate,No,6359,5891,20.0,480.0,0.0,534,Semiurban,Home Loan,Y
Female,Yes,0,Graduate,No,1500,1092,10.0,360.0,1.0,670,Rural,Home Loan,Y
Male,No,0,Graduate,No,17719,0,78.0,480.0,1.0,783,Rural,Home Loan,Y
Male,No,1,Graduate,No,1707,0,10.0,360.0,0.0,399,Rural,Home Loan,N
Male,Yes,0,Graduate,No,8245,1724,27.0,360.0,1.0,745,Urban,Car Loan,Y
Male,Yes,0,Not Graduate,No,2005,1404,10.0,300.0,0.0,406,Urban,Business Loan,N
Female,Yes,1,Graduate,No,2608,1042,,300.0,1.0,662,Urban,Education Loan,N
Male,Yes,3+,Graduate,No,6989,698,10.0,180.0,1.0,650,Semiurban,Business Loan,Y
Male,Yes,0,Graduate,No,8260,617,43.0,360.0,1.0,799,Rural,Car Loan,Y
Male,Yes,0,Graduate,No,1652,1413,10.0,60.0,0.0,342,Urban,Car Loan,N
Male,No,0,Graduate,No,8632,0,46.0,24.0,1.0,801,Semiurban,Car Loan,Y
Male,Yes,0,Graduate,No,8362,978,38.0,360.0,1.0,713,Urban,Home Loan,Y
Male,Yes,2,Graduate,Yes,2086,1420,10.0,12.0,1.0,818,Urban,Home Loan,Y
Male,Yes,2,Not Graduate,No,12320,1059,63.0,480.0,0.0,416,Semiurban,Business Loan,N
Male,No,1,Graduate,No,1500,0,10.0,360.0,0.0,603,Semiurban,Business Loan,N
Male,No,0,Graduate,No,2598,0,10.0,120.0,1.0,710,Rural,Home Loan,N
Male,No,2,Graduate,No,5626,0,10.0,360.0,1.0,757,Urban,Home Loan,Y
Male,Yes,1,Not Graduate,Yes,2213,12434,10.0,360.0,0.0,590,Rural,Car Loan,N
Male,Yes,2,Graduate,No,4840,1451,20.0,84.0,1.0,739,Urban,Home Loan,Y
Male,Yes,1,Graduate,No,4763,1960,22.0,360.0,1.0,781,Urban,Car Loan,Y
Male,No,2,Graduate,No,3529,0,16.0,360.0,1.0,732,Semiurban,Home Loan,Y
Female,No,1,Graduate,,7206,0,30.0,84.0,0.0,406,Rural,Car Loan,N
,No,0,Graduate,No,3429,0,16.0,24.0,1.0,899,Urban,Home Loan,Y
Male,No,3+,Graduate,No,4731,0,17.0,84.0,0.0,606,Urban,Car Loan,N
Male,No,1,Not Graduate,No,8977,0,19.0,84.0,1.0,789,Semiurban,Home Loan,Y
Male,Yes,1,Not Graduate,No,6998,811,38.0,24.0,1.0,682,Urban,Car Loan,N
Male,No,0,Graduate,No,6975,0,10.0,360.0,0.0,614,Rural,Business Loan,Y
Male,Yes,1,Graduate,No,1800,1523,10.0,180.0,1.0,798,Rural,Car Loan,Y
,Yes,1,Not Graduate,Yes,5810,405,26.0,360.0,1.0,777,Urban,Personal Loan,Y
Male,Yes,0,Graduate,Yes,2175,1775,10.0,120.0,1.0,749,Semiurban,Personal Loan,N
Male,Yes,0,Graduate,No,1640,374,10.0,240.0,0.0,369,Rural,Business Loan,N
Male,Yes,1,Graduate,Yes,3826,822,10.0,360.0,0.0,311,Urban,Personal Loan,N
Male,Yes,2,Graduate,No,2136,302,10.0,360.0,0.0,596,Semiurban,Education Loan,N
Male,Yes,1,Graduate,No,6998,13929,40.0,300.0,0.0,404,Urban,Personal Loan,Y
Female,Yes,0,Graduate,No,7116,247,26.0,180.0,1.0,721,Semiurban,Home Loan,Y
Male,Yes,1,Graduate,No,1500,1106,10.0,360.0,1.0,861,Urban,Car Loan,Y
Female,Yes,0,Graduate,,2253,3068,10.0,120.0,0.0,362,Rural,Business Loan,N
Female,Yes,0,Graduate,No,1500,2787,10.0,36.0,1.0,745,Semiurban,Personal Loan,Y
Male,Yes,0,Graduate,No,2910,2359,10.0,240.0,1.0,741,Urban,Business Loan,Y
Male,No,0,Not Graduate,Yes,5533,0,12.0,360.0,1.0,723,Rural,Personal Loan,N
Male,No,0,Graduate,Yes,3396,0,10.0,24.0,1.0,721,Urban,Personal Loan,N
Male,No,0,Graduate,No,2662,0,10.0,360.0,0.0,572,Semiurban,Personal Loan,N
Male,No,0,Not Graduate,No,9997,0,12.0,360.0,1.0,824,Semiurban,Personal Loan,Y
Male,Yes,0,Not Graduate,No,1500,1361,10.0,360.0,1.0,874,Urban,Education Loan,Y
Male,No,1,Graduate,No,9564,0,52.0,120.0,0.0,505,Rural,Business Loan,N
Male,Yes,0,Graduate,No,2749,483,15.0,120.0,1.0,824,Rural,Personal Loan,Y
Female,Yes,0,Not Graduate,Yes,3809,3339,15.0,240.0,1.0,705,Urban,Personal Loan,N
Male,No,2,Not Graduate,No,2781,0,10.0,180.0,1.0,890,Semiurban,Education Loan,Y
Female,Yes,0,Not Graduate,No,11849,494,55.0,360.0,0.0,496,Semiurban,Car Loan,Y
Male,No,1,Not Graduate,No,1699,0,10.0,,0.0,397,Rural,Home Loan,N
Male,No,0,Graduate,No,4057,0,17.0,,0.0,318,Urban,Business Loan,N
Male,No,0,Graduate,Yes,5820,0,28.0,360.0,0.0,612,Semiurban,Education Loan,N
Male,No,1,Graduate,No,1500,0,,360.0,1.0,764,Semiurban,Home Loan,Y
Female,Yes,1,Graduate,No,2113,2571,12.0,240.0,0.0,344,Semiurban,Home Loan,Y
Male,Yes,2,Graduate,No,3627,559,16.0,480.0,0.0,454,Semiurban,Personal Loan,N
Female,Yes,1,Graduate,No,2163,511,10.0,84.0,1.0,782,Urban,Personal Loan,Y
Male,Yes,3+,Graduate,No,2273,3337,10.0,360.0,1.0,844,Rural,Personal Loan,Y
Male,No,0,Not Graduate,No,3149,0,17.0,300.0,0.0,412,Semiurban,Education Loan,N
Female,No,0,Graduate,No,6340,0,10.0,360.0,0.0,343,Rural,Car Loan,N
Female,No,0,Graduate,Yes,3165,0,17.0,240.0,0.0,409,Urban,Car Loan,N
Female,Yes,0,Graduate,No,8560,814,20.0,360.0,0.0,410,Semiurban,Home Loan,Y
Male,Yes,1,Graduate,Yes,2001,4444,10.0,360.0,1.0,754,Rural,Personal Loan,Y
Male,Yes,1,Not Graduate,No,1675,2520,10.0,360.0,1.0,783,Semiurban,Home Loan,Y
,Yes,0,Graduate,No,15497,3080,12.0,360.0,1.0,825,Rural,Education Loan,Y
Male,No,3+,Not Graduate,No,2538,0,13.0,24.0,1.0,755,Rural,Education Loan,Y
Female,Yes,2,Graduate,No,1607,2569,10.0,84.0,0.0,613,Semiurban,Education Loan,N
Female,Yes,0,Graduate,No,1500,590,10.0,480.0,1.0,812,Semiurban,Business Loan,Y
Male,,0,Graduate,No,8540,917,37.0,360.0,1.0,795,Urban,Home Loan,Y
Female,No,0,Graduate,,3168,0,13.0,300.0,1.0,660,Semiurban,Personal Loan,Y
Female,No,0,Not Graduate,No,3369,0,10.0,180.0,1.0,700,Urban,Home Loan,N
Male,Yes,0,Graduate,No,3599,2029,10.0,24.0,1.0,770,Rural,Home Loan,Y
Female,Yes,1,Not Graduate,No,8176,1237,41.0,180.0,1.0,672,Semiurban,Car Loan,Y
Male,Yes,0,Graduate,No,3548,3570,10.0,240.0,1.0,696,Semiurban,Home Loan,Y
Female,Yes,0,Not Graduate,No,20761,392,56.0,84.0,1.0,724,Urban,Personal Loan,Y
Male,No,3+,Graduate,No,4418,0,17.0,60.0,0.0,470,Rural,Education Loan,N
Female,No,1,Not Graduate,No,8461,0,27.0,240.0,1.0,834,Urban,Home Loan,Y
Male,Yes,3+,Graduate,Yes,7070,1193,12.0,360.0,1.0,742,Urban,Home Loan,N
Male,Yes,0,Graduate,No,3922,2135,10.0,84.0,1.0,776,Urban,Education Loan,Y
Female,No,0,Graduate,No,2668,0,10.0,360.0,1.0,895,Rural,Personal Loan,Y
Male,Yes,1,Not Graduate,No,5076,1800,26.0,360.0,1.0,705,Rural,Car Loan,Y
Male,No,0,Graduate,No,5750,0,10.0,240.0,0.0,610,Semiurban,Education Loan,N
Female,Yes,0,Graduate,No,2695,245,15.0,360.0,0.0,620,Rural,Personal Loan,N
Female,Yes,1,Not Graduate,No,4520,1810,10.0,360.0,1.0,722,Urban,Education Loan,N
Male,Yes,1,Graduate,No,9560,5269,13.0,36.0,1.0,812,Rural,Home Loan,Y
Male,Yes,0,Graduate,Yes,17136,447,65.0,,0.0,377,Urban,Education Loan,Y
Male,,0,Graduate,Yes,7317,0,10.0,240.0,0.0,600,Urban,Education Loan,N
Male,Yes,0,Graduate,No,14822,1140,58.0,360.0,0.0,494,Urban,Personal Loan,Y
Male,Yes,0,Not Graduate,No,2590,329,13.0,180.0,1.0,693,Semiurban,Education Loan,N
Male,Yes,0,Not Graduate,No,6576,396,10.0,120.0,1.0,896,Rural,Business Loan,Y
Female,Yes,0,Graduate,Yes,10269,1112,50.0,360.0,1.0,798,Semiurban,Home Loan,Y
Female,Yes,0,Not Graduate,No,2148,762,10.0,12.0,1.0,705,Rural,Business Loan,N
Female,Yes,3+,Graduate,No,2864,336,10.0,480.0,1.0,825,Semiurban,Education Loan,Y
Male,No,1,Graduate,No,13582,0,23.0,84.0,1.0,749,Urban,Education Loan,Y
Male,Yes,2,Graduate,Yes,2033,511,11.0,360.0,1.0,650,Semiurban,Home Loan,N
Male,Yes,0,Graduate,Yes,1573,1305,10.0,36.0,0.0,479,Semiurban,Car Loan,N
Male,No,0,Graduate,No,11726,0,62.0,84.0,0.0,400,Rural,Personal Loan,Y
Male,Yes,0,Not Graduate,Yes,9299,698,33.0,84.0,1.0,712,Semiurban,Personal Loan,Y
Female,No,0,Not Graduate,No,5445,0,10.0,480.0,0.0,512,Semiurban,Home Loan,N
Male,Yes,0,Graduate,,3897,2796,12.0,12.0,1.0,817,Urban,Education Loan,Y
Male,No,,Graduate,Yes,2960,0,14.0,360.0,0.0,326,Semiurban,Home Loan,N
Male,No,1,Not Graduate,No,4901,0,22.0,360.0,1.0,687,Rural,Business Loan,N
Female,No,1,Not Graduate,No,12159,0,40.0,360.0,1.0,678,Urban,Business Loan,N
Male,No,0,Not Graduate,Yes,4755,0,25.0,180.0,1.0,689,Rural,Home Loan,N
Male,Yes,3+,Graduate,No,18340,895,26.0,360.0,,796,Semiurban,Personal Loan,Y
Male,No,0,Not Graduate,No,2146,0,11.0,360.0,0.0,488,Urban,Business Loan,N
Male,Yes,0,Graduate,No,3968,360,20.0,240.0,1.0,705,Rural,Car Loan,Y
Male,Yes,0,Graduate,No,3099,751,13.0,300.0,1.0,693,Semiurban,Personal Loan,N
Female,Yes,2,Graduate,Yes,1882,169,10.0,480.0,1.0,842,Urban,Car Loan,Y
Male,Yes,3+,Graduate,No,3614,6130,13.0,480.0,1.0,749,Urban,Education Loan,N
Male,Yes,0,Graduate,No,5389,471,23.0,240.0,1.0,864,Urban,Car Loan,Y
Male,Yes,2,Graduate,No,5807,4571,21.0,360.0,0.0,304,Rural,Car Loan,N
Female,Yes,2,Graduate,No,18385,1134,48.0,120.0,0.0,314,Semiurban,Car Loan,N
Male,No,0,Not Graduate,No,5569,0,20.0,180.0,0.0,304,Rural,Home Loan,N
Male,No,0,Graduate,No,9001,0,19.0,60.0,0.0,529,Urban,Personal Loan,N
Female,Yes,,Graduate,Yes,4214,1322,13.0,84.0,1.0,764,Urban,Car Loan,Y
Female,Yes,3+,Graduate,No,13025,1969,29.0,360.0,0.0,413,Urban,Car Loan,Y
Female,Yes,0,Not Graduate,No,21566,1994,31.0,300.0,1.0,878,Semiurban,Business Loan,Y
Female,Yes,2,Graduate,No,5835,2202,14.0,84.0,0.0,483,Rural,Car Loan,N
Male,Yes,0,Graduate,Yes,2008,787,10.0,180.0,1.0,840,Semiurban,Education Loan,Y
Male,Yes,2,Graduate,No,2740,711,10.0,180.0,0.0,546,Urban,Business Loan,N
Female,Yes,0,Not Graduate,No,4901,261,22.0,480.0,0.0,333,Rural,Business Loan,N
Male,No,1,Not Graduate,Yes,5538,0,10.0,360.0,0.0,595,Rural,Home Loan,N
Male,Yes,2,Graduate,No,6560,2904,19.0,180.0,0.0,495,Urban,Car Loan,Y
Female,Yes,2,Graduate,No,5553,4695,,360.0,0.0,426,Rural,Business Loan,Y
Male,Yes,2,Not Graduate,No,4043,1443,10.0,180.0,0.0,441,Urban,Car Loan,N
Male,Yes,0,Graduate,Yes,2577,550,10.0,360.0,1.0,764,Urban,Car Loan,Y
Male,Yes,1,Graduate,No,5328,238,21.0,480.0,1.0,817,Urban,Home Loan,Y
Male,No,0,Graduate,No,14742,0,28.0,180.0,1.0,889,Semiurban,Home Loan,Y
Male,Yes,0,Graduate,No,8216,217,26.0,,1.0,670,Semiurban,Personal Loan,Y
Male,Yes,1,Graduate,No,5850,807,30.0,120.0,1.0,696,Urban,Personal Loan,N
Male,No,0,Graduate,No,8272,0,14.0,120.0,1.0,652,Urban,Business Loan,Y
Male,No,1,Graduate,No,3103,0,10.0,300.0,1.0,807,Rural,Personal Loan,Y
Male,No,3+,Not Graduate,No,2819,0,11.0,480.0,0.0,543,Rural,Home Loan,N
Male,Yes,0,Graduate,No,2384,1241,10.0,240.0,0.0,351,Rural,Home Loan,N
Female,No,1,Not Graduate,No,3686,0,21.0,360.0,1.0,776,Urban,Business Loan,Y
Male,Yes,0,Graduate,No,2994,1111,11.0,360.0,1.0,716,Urban,Car Loan,N
Male,Yes,0,Graduate,No,9374,147,30.0,120.0,1.0,711,Urban,Car Loan,Y
Female,Yes,0,Graduate,No,2884,2119,10.0,180.0,1.0,814,Urban,Business Loan,Y
Male,Yes,3+,Not Graduate,No,2294,665,10.0,360.0,0.0,538,Semiurban,Education Loan,N
Female,Yes,2,Not Graduate,Yes,15674,157,19.0,300.0,1.0,799,Semiurban,Home Loan,Y
Male,Yes,3+,Graduate,No,2933,527,16.0,36.0,1.0,680,Semiurban,Business Loan,N
Female,No,3+,Not Graduate,No,4480,0,18.0,480.0,0.0,403,Semiurban,Business Loan,N
Male,No,0,Graduate,No,5518,0,10.0,360.0,0.0,623,Urban,Home Loan,N
Female,No,0,Not Graduate,Yes,1815,0,10.0,240.0,1.0,694,Urban,Personal Loan,N
Male,Yes,1,Graduate,No,9555,1495,14.0,360.0,0.0,605,Semiurban,Car Loan,N
Female,No,0,Not Graduate,No,6285,0,10.0,36.0,1.0,770,Urban,Education Loan,Y
Male,Yes,0,Graduate,Yes,11978,1005,48.0,240.0,1.0,789,Urban,Business Loan,Y
Male,No,0,Graduate,No,2501,0,10.0,360.0,1.0,768,Semiurban,Business Loan,Y
Female,Yes,1,Graduate,No,4312,2029,16.0,360.0,1.0,840,Urban,Home Loan,Y
Male,No,1,Graduate,No,4136,0,10.0,180.0,1.0,868,Urban,Home Loan,Y
Male,Yes,0,Graduate,,4840,4128,19.0,300.0,1.0,726,Rural,Home Loan,N
Male,No,0,Graduate,No,1500,0,10.0,360.0,0.0,313,Rural,Education Loan,N
Male,No,1,Graduate,No,4348,0,17.0,180.0,0.0,467,Urban,Home Loan,N
Male,Yes,1,Graduate,,1500,279,10.0,24.0,1.0,766,Urban,Car Loan,Y
Male,Yes,0,Graduate,No,5171,1883,21.0,240.0,1.0,824,Rural,Home Loan,Y
Female,No,2,Graduate,No,1500,0,10.0,360.0,0.0,313,Urban,Car Loan,N
Male,Yes,0,Not Graduate,Yes,1500,905,10.0,12.0,1.0,703,Semiurban,Home Loan,N
Male,No,0,Graduate,No,7136,0,42.0,36.0,0.0,361,Urban,Personal Loan,N
Female,Yes,2,Graduate,No,2744,1899,16.0,84.0,1.0,697,Urban,Home Loan,Y
Female,Yes,1,Graduate,No,2015,815,10.0,180.0,1.0,850,Rural,Car Loan,Y
Male,Yes,0,Graduate,,9794,5633,56.0,300.0,1.0,849,Rural,Personal Loan,Y
Male,Yes,1,Graduate,Yes,5061,1303,26.0,120.0,1.0,750,Urban,Personal Loan,Y
Male,No,1,Graduate,No,7409,0,33.0,120.0,1.0,664,Urban,Home Loan,Y
Male,Yes,2,Graduate,No,3581,674,10.0,360.0,1.0,848,Urban,Home Loan,Y
Male,Yes,2,Not Graduate,No,26258,473,27.0,60.0,1.0,865,Urban,Personal Loan,Y
Male,Yes,1,Graduate,No,2635,623,13.0,240.0,1.0,762,Rural,Car Loan,Y
Male,Yes,0,Graduate,No,13645,799,45.0,360.0,1.0,665,Semiurban,Personal Loan,Y
Male,No,0,Graduate,No,3854,0,19.0,360.0,1.0,865,Semiurban,Car Loan,Y
Female,No,0,Graduate,Yes,1500,0,10.0,360.0,1.0,820,Rural,Car Loan,Y
Female,Yes,0,Not Graduate,No,5642,7251,16.0,240.0,1.0,784,Rural,Car Loan,Y
Male,No,1,Graduate,No,5015,0,,12.0,,692,Rural,Personal Loan,N
Male,No,1,Graduate,No,1927,0,10.0,360.0,1.0,677,Urban,Business Loan,N
,Yes,0,Graduate,No,2110,1869,10.0,360.0,0.0,467,Urban,Home Loan,N
Female,No,0,Graduate,No,3954,0,20.0,36.0,1.0,747,Semiurban,Education Loan,N
Male,Yes,0,Graduate,Yes,5140,1040,25.0,240.0,0.0,304,Semiurban,Home Loan,N
Male,Yes,0,Not Graduate,No,1500,883,10.0,360.0,1.0,879,Rural,Car Loan,Y
Female,No,2,Not Graduate,Yes,8410,0,22.0,84.0,1.0,777,Semiurban,Business Loan,Y
Female,Yes,0,Not Graduate,No,2846,1393,10.0,240.0,1.0,780,Rural,Car Loan,Y
Female,No,1,Not Graduate,No,1584,0,10.0,240.0,0.0,468,Urban,Business Loan,N
Male,No,3+,Graduate,No,7775,0,25.0,360.0,1.0,808,Rural,Education Loan,Y
Male,Yes,0,Graduate,No,3957,719,10.0,360.0,1.0,705,Urban,Business Loan,Y
Male,No,0,Not Graduate,No,9426,0,17.0,360.0,1.0,864,Rural,Personal Loan,Y
Female,Yes,0,Not Graduate,No,5467,601,28.0,180.0,1.0,733,Urban,Home Loan,N
Female,Yes,1,Not Graduate,No,4019,1129,15.0,36.0,1.0,857,Semiurban,Home Loan,Y
Male,No,1,Graduate,No,3615,0,14.0,,1.0,823,Rural,Car Loan,Y
Male,No,0,Graduate,No,5641,0,10.0,360.0,1.0,681,Semiurban,Home Loan,Y
Male,Yes,1,Not Graduate,No,3012,676,15.0,360.0,1.0,730,Semiurban,Car Loan,N
Female,Yes,3+,Not Graduate,No,2215,2202,,480.0,1.0,667,Rural,Car Loan,N
Female,No,0,Not Graduate,No,6166,0,21.0,240.0,0.0,469,Semiurban,Business Loan,Y
Male,No,0,Graduate,No,3636,0,20.0,360.0,0.0,557,Semiurban,Car Loan,N
Male,No,2,Graduate,No,4119,0,21.0,300.0,1.0,684,Urban,Personal Loan,N
Male,Yes,1,Graduate,No,8626,442,39.0,60.0,0.0,301,Rural,Business Loan,Y
Female,Yes,3+,Not Graduate,Yes,3715,232,17.0,240.0,0.0,428,Semiurban,Personal Loan,N
Female,Yes,1,Graduate,No,4066,1451,10.0,300.0,1.0,672,Semiurban,Home Loan,Y
Female,No,2,Graduate,No,2644,0,10.0,360.0,1.0,856,Urban,Car Loan,Y
Male,Yes,0,Not Graduate,Yes,5439,453,10.0,180.0,0.0,577,Semiurban,Car Loan,N
Male,Yes,2,Graduate,No,5140,350,10.0,480.0,1.0,855,Urban,Car Loan,Y
Male,No,3+,Not Graduate,No,7559,0,12.0,300.0,1.0,791,Urban,Car Loan,Y
Male,Yes,1,Graduate,No,2682,4259,14.0,84.0,0.0,641,Semiurban,Personal Loan,N
Female,No,0,Not Graduate,No,2920,0,10.0,84.0,1.0,654,Urban,Car Loan,N
Female,No,0,Graduate,No,7005,0,40.0,60.0,0.0,415,Urban,Education Loan,N
Female,No,0,Not Graduate,Yes,4800,0,,240.0,0.0,558,Semiurban,Business Loan,N
Female,Yes,0,Not Graduate,No,2133,343,10.0,12.0,0.0,548,Urban,Home Loan,N
Male,Yes,0,Graduate,No,10042,2124,33.0,240.0,1.0,781,Urban,Car Loan,Y
Female,No,1,Graduate,No,1500,0,10.0,480.0,1.0,699,Urban,Personal Loan,N
Female,No,1,Graduate,No,6967,0,41.0,360.0,1.0,751,Semiurban,Home Loan,Y
Female,No,0,Graduate,Yes,1659,0,10.0,360.0,1.0,678,Semiurban,Education Loan,N
Male,Yes,1,Not Graduate,No,15063,2449,14.0,36.0,1.0,686,Semiurban,Home Loan,Y
Male,No,0,Graduate,No,1500,0,10.0,240.0,1.0,812,Urban,Personal Loan,Y
Male,No,0,Graduate,No,9014,0,41.0,120.0,1.0,797,Urban,Car Loan,Y
Female,No,0,Graduate,No,3800,0,10.0,360.0,1.0,812,Urban,Car Loan,Y
Male,No,,Not Graduate,No,3113,0,13.0,60.0,1.0,876,Semiurban,Education Loan,Y
Male,No,0,Not Graduate,No,4581,0,19.0,240.0,0.0,482,Rural,Home Loan,N
Male,,0,Graduate,No,6262,0,12.0,360.0,0.0,501,Urban,Home Loan,Y
Male,Yes,0,Graduate,No,2136,1799,10.0,300.0,0.0,318,Urban,Car Loan,N
Male,Yes,2,Graduate,No,2273,549,10.0,360.0,1.0,707,Urban,Car Loan,Y
Male,Yes,0,Graduate,No,6340,398,21.0,84.0,0.0,394,Semiurban,Education Loan,Y
Male,Yes,1,Graduate,No,1500,701,,180.0,0.0,363,Semiurban,Education Loan,N
Male,Yes,1,Graduate,No,2673,2090,15.0,360.0,,755,Semiurban,Education Loan,Y
Female,Yes,2,Graduate,Yes,33808,199,159.0,300.0,1.0,705,Rural,Education Loan,Y
Male,Yes,3+,Graduate,No,2043,965,,180.0,1.0,771,Semiurban,Car Loan,Y
Female,Yes,0,Graduate,Yes,8986,5396,23.0,12.0,1.0,841,Urban,Home Loan,Y
Male,No,0,Graduate,No,2670,0,10.0,360.0,1.0,894,Urban,Personal Loan,Y
Male,No,3+,Graduate,No,5746,0,27.0,480.0,1.0,870,Semiurban,Personal Loan,Y
Female,Yes,0,Not Graduate,No,6361,7966,10.0,360.0,0.0,637,Semiurban,Home Loan,N
Male,No,1,Graduate,No,8868,0,45.0,360.0,1.0,772,Semiurban,Car Loan,Y
,Yes,1,Graduate,Yes,3497,1228,19.0,300.0,1.0,829,Semiurban,Car Loan,Y
Male,Yes,1,Graduate,No,16191,1730,69.0,84.0,0.0,584,Semiurban,Education Loan,Y
Female,Yes,3+,Not Graduate,No,2663,764,10.0,12.0,1.0,671,Rural,Education Loan,N
Male,Yes,3+,Not Graduate,No,4740,3532,12.0,360.0,0.0,616,Semiurban,Home Loan,N
Male,No,2,Graduate,Yes,4777,0,15.0,240.0,1.0,709,Rural,Personal Loan,N
Male,No,0,Graduate,No,1834,0,10.0,360.0,0.0,404,Urban,Home Loan,N
Male,Yes,2,Graduate,No,3294,771,14.0,360.0,1.0,787,Semiurban,Car Loan,Y
Male,Yes,0,Graduate,No,4505,459,16.0,480.0,1.0,733,Rural,Personal Loan,Y
Male,Yes,0,Graduate,No,2973,851,10.0,300.0,1.0,777,Semiurban,Car Loan,Y
Male,Yes,3+,Graduate,No,22217,868,120.0,180.0,0.0,417,Rural,Home Loan,N
Male,Yes,0,Graduate,No,2237,3221,10.0,120.0,,479,Semiurban,Business Loan,N
Male,Yes,0,Graduate,No,9187,2050,29.0,240.0,1.0,730,Urban,Business Loan,Y
Female,No,0,Graduate,No,7328,0,35.0,360.0,0.0,389,Semiurban,Personal Loan,Y
